0.2,0.89,0.097,0.058,0.147,0.225,0.0,0.08,0.257,0.001
0.002,0.886,0.021,0.002,0.578,0.087,0.017,0.123,0.005,0.0
0.088,0.929,0.019,0.02,0.789,0.132,0.021,0.021,0.136,0.0
0.077,0.937,0.018,0.037,0.808,0.183,0.089,0.135,0.033,0.0
0.107,0.94,0.078,0.067,0.795,0.251,0.123,0.143,0.09,0.0
0.121,0.946,0.076,0.091,0.777,0.216,0.116,0.171,0.042,0.0
0.109,0.944,0.083,0.09,0.782,0.255,0.12,0.189,0.065,0.0
0.133,0.945,0.092,0.102,0.787,0.253,0.14,0.205,0.057,0.0
0.128,0.944,0.099,0.1,0.784,0.257,0.143,0.205,0.069,0.0
0.163,0.944,0.107,0.116,0.779,0.268,0.173,0.228,0.067,0.0
0.159,0.942,0.108,0.121,0.771,0.263,0.167,0.232,0.078,0.0
0.186,0.938,0.116,0.132,0.774,0.279,0.184,0.248,0.081,0.0
0.193,0.938,0.126,0.135,0.776,0.278,0.176,0.252,0.092,0.0
0.211,0.937,0.134,0.147,0.776,0.294,0.21,0.273,0.098,0.0
0.226,0.937,0.143,0.151,0.777,0.297,0.209,0.285,0.125,0.0
0.239,0.937,0.146,0.16,0.781,0.303,0.23,0.299,0.129,0.0
0.256,0.937,0.157,0.16,0.772,0.312,0.237,0.303,0.16,0.0
0.265,0.935,0.16,0.172,0.763,0.318,0.261,0.311,0.157,0.0
0.281,0.937,0.174,0.179,0.759,0.327,0.262,0.334,0.207,0.0
0.293,0.934,0.177,0.192,0.752,0.331,0.283,0.344,0.195,0.0
